customer_id,consent_given,consent_timestamp,data_shared_crossborder,has_safeguards,data_breach_reported,breach_report_days,criticality_score,violation_consent_missing,violation_crossborder_unsafe,violation_breach_late,total_violations
CUST0000,True,2023-01-01 00:00:00,True,True,False,41,0.63,False,False,False,0
CUST0001,False,2023-01-01 01:00:00,False,True,False,20,0.38,True,False,False,1
CUST0002,True,2023-01-01 02:00:00,False,False,False,36,0.66,False,False,False,0
CUST0003,True,2023-01-01 03:00:00,False,True,False,26,0.83,False,False,False,0
CUST0004,True,2023-01-01 04:00:00,False,True,False,54,0.65,False,False,False,0
CUST0005,True,2023-01-01 05:00:00,False,False,False,51,0.37,False,False,False,0
CUST0006,True,2023-01-01 06:00:00,False,True,False,28,0.33,False,False,False,0
CUST0007,False,2023-01-01 07:00:00,False,False,True,19,0.39,True,False,True,2
CUST0008,True,2023-01-01 08:00:00,False,True,False,24,0.25,False,False,False,0
CUST0009,True,2023-01-01 09:00:00,False,True,True,5,0.26,False,False,True,1
CUST0010,True,2023-01-01 10:00:00,False,True,False,35,0.81,False,False,False,0
CUST0011,False,2023-01-01 11:00:00,False,True,False,1,0.45,True,False,False,1
CUST0012,True,2023-01-01 12:00:00,False,False,False,21,0.49,False,False,False,0
CUST0013,True,2023-01-01 13:00:00,True,True,False,31,0.63,False,False,False,0
CUST0014,True,2023-01-01 14:00:00,False,False,False,15,0.63,False,False,False,0
CUST0015,True,2023-01-01 15:00:00,False,True,False,17,0.16,False,False,False,0
CUST0016,True,2023-01-01 16:00:00,True,True,False,4,0.85,False,False,False,0
CUST0017,True,2023-01-01 17:00:00,False,False,False,53,0.26,False,False,False,0
CUST0018,True,2023-01-01 18:00:00,False,True,True,35,0.75,False,False,True,1
CUST0019,True,2023-01-01 19:00:00,True,False,False,29,0.8,False,True,False,1
CUST0020,True,2023-01-01 20:00:00,False,False,False,44,0.74,False,False,False,0
CUST0021,True,2023-01-01 21:00:00,False,False,False,18,0.62,False,False,False,0
CUST0022,True,2023-01-01 22:00:00,False,False,False,22,0.11,False,False,False,0
CUST0023,True,2023-01-01 23:00:00,False,True,False,33,0.42,False,False,False,0
CUST0024,True,2023-01-02 00:00:00,False,True,True,12,0.64,False,False,True,1
CUST0025,True,2023-01-02 01:00:00,False,True,False,42,0.45,False,False,False,0
CUST0026,True,2023-01-02 02:00:00,False,False,False,53,0.88,False,False,False,0
CUST0027,True,2023-01-02 03:00:00,False,False,False,28,0.38,False,False,False,0
CUST0028,True,2023-01-02 04:00:00,False,True,False,35,0.36,False,False,False,0
CUST0029,True,2023-01-02 05:00:00,False,False,False,21,0.34,False,False,False,0
CUST0030,True,2023-01-02 06:00:00,True,True,False,51,0.4,False,False,False,0
CUST0031,True,2023-01-02 07:00:00,False,False,False,51,0.6,False,False,False,0
CUST0032,True,2023-01-02 08:00:00,False,True,False,46,0.74,False,False,False,0
CUST0033,False,2023-01-02 09:00:00,True,False,False,35,0.7,True,True,False,2
CUST0034,False,2023-01-02 10:00:00,True,False,False,8,0.83,True,True,False,2
CUST0035,True,2023-01-02 11:00:00,False,True,False,38,0.9,False,False,False,0
CUST0036,True,2023-01-02 12:00:00,False,True,False,50,0.83,False,False,False,0
CUST0037,True,2023-01-02 13:00:00,False,True,False,18,0.12,False,False,False,0
CUST0038,True,2023-01-02 14:00:00,True,True,True,37,0.76,False,False,True,1
CUST0039,True,2023-01-02 15:00:00,False,True,False,5,0.29,False,False,False,0
CUST0040,True,2023-01-02 16:00:00,False,False,False,51,0.22,False,False,False,0
CUST0041,True,2023-01-02 17:00:00,False,False,False,46,0.67,False,False,False,0
CUST0042,True,2023-01-02 18:00:00,False,False,False,14,0.39,False,False,False,0
CUST0043,False,2023-01-02 19:00:00,False,True,False,56,0.15,True,False,False,1
CUST0044,True,2023-01-02 20:00:00,False,False,False,19,0.22,False,False,False,0
CUST0045,True,2023-01-02 21:00:00,False,False,False,8,0.1,False,False,False,0
CUST0046,True,2023-01-02 22:00:00,False,True,False,31,0.91,False,False,False,0
CUST0047,True,2023-01-02 23:00:00,True,False,False,3,0.12,False,True,False,1
CUST0048,True,2023-01-03 00:00:00,False,False,False,49,0.29,False,False,False,0
CUST0049,True,2023-01-03 01:00:00,True,True,False,17,0.47,False,False,False,0
CUST0050,False,2023-01-03 02:00:00,False,True,False,4,0.42,True,False,False,1
CUST0051,True,2023-01-03 03:00:00,False,True,False,19,0.92,False,False,False,0
CUST0052,False,2023-01-03 04:00:00,False,True,False,22,0.14,True,False,False,1
CUST0053,False,2023-01-03 05:00:00,False,False,False,10,0.56,True,False,False,1
CUST0054,True,2023-01-03 06:00:00,False,False,False,36,0.71,False,False,False,0
CUST0055,False,2023-01-03 07:00:00,False,False,False,21,0.94,True,False,False,1
CUST0056,True,2023-01-03 08:00:00,False,True,False,57,0.66,False,False,False,0
